"Process Type","Process Name","Process ID","Output Resource","Pathways the process is used in.","SCC",9991,9992,9993,9994,9995,9996,888,"NOTES","NOTES"
"StationaryProcess","FG Liquefaction with Credit",14,"Liquefied Natural Gas","Liquefied Natural Gas (As an Intermediate Fuel) from Flared Gas,Liquefied Natural Gas (As aTransportation Fuel) from Flared Gas,Compressed Natural Gas from Flared Gas",31000205,,,,,,,,,
"StationaryProcess","LNG Storage: Non-North American FG Sources for CNG",15,"Liquefied Natural Gas","Liquefied Natural Gas (As an Intermediate Fuel) from Flared Gas,Compressed Natural Gas from Flared Gas","31000301;31000302;31000303;31000304;31000305;31000306;31000307;31000308;31000309;31000310;31000311;31000321;31000322;31000323;31000324;31000325",,,,,,,,,
"StationaryProcess","Biomass Gasification for Dimethyl Ether (no export)",16,"Dimethyl Ether","Dimethyl Ether (no export) from Biomass Gasification","40704897;40704898",,,,,,,,"DME isn't currently in widespread usage as a fuel",
"StationaryProcess","MeOH Production from NG-no co-products",18,"Methanol","Methanol from NA NG-no co-products,Methanol from NNA NG-no co-products",30125001,,,,,,,,,
"StationaryProcess","Miscanthus Farming",20,"Miscanthus","Miscanthus Production for Ethanol plant",2801000000,,,,99942060,,,,,
"StationaryProcess","MeOH Storage",21,"Methanol","Methanol from NA NG-no co-products,Landfill Gas to Methanol,Methanol from NNA NG-with steam,Methanol from NNA FG-with steam,Methanol from NNA NG-no co-products,Methanol from Coal,Methanol (no export) from Biomass,Methanol (with export) from Biomass,Methanol from NNA FG-with electricity,Methanol from NA NG-with steam,Methanol from NNA FG-no co-products,Methanol from NNA NG-with electricity,Methanol from NA NG-with electricity",30125001,,,,,,,,,
"StationaryProcess","MeOH Production from NG-with steam",22,"Methanol","Methanol from NNA NG-with steam,Methanol from NA NG-with steam",30125001,,,,,,,,,
"StationaryProcess","Compressed Natural Gas Compression from LFG NG",23,"Compressed Natural Gas",,"31000301;31000302;31000303;31000304;31000305;31000306;31000307;31000308;31000309;31000310;31000311;31000321;31000322;31000323;31000324;31000325",,,,,,,,,
"StationaryProcess","Miscanthus to Ethanol via Fermentation",25,"Ethanol","Ethanol Production from Miscanthus","30205010;30205011;30205012;30205013;30205014;30205020;30205021;30205030;30205031;30205032;30205033;30205034;30205035;30205038;30205039;30205040;30205041;30205050;30205051;30205052;30205053;30205054;30205091",,,,,,,,,
"StationaryProcess","Biomass Gasification to Methanol (with export)",26,"Methanol","Methanol (with export) from Biomass",30125001,,,,,,,,,
"StationaryProcess","n-Hexane production",27,"N-Hexane","Production of n-Hexane from n-Hexane",40717603,,,,,,,,"So this is storage at refineries (or at least it replaces the storage at refineries SCC which has since been deleted)",
"StationaryProcess","Biomass Gasification for Dimethyl Ether (with Steam/Electricity Export)",29,"Dimethyl Ether","Dimethyl Ether (with Steam/Electricity Export) from Biomass Gasification","40704897;40704898",,,,,,,,"DME isn't currently in widespread usage as a fuel",
"StationaryProcess","Nuclear-LWR Power Plant",31,"Electricity","Non Distributed - Nuclear Power Generation",,,,,,,99960200,,,
"StationaryProcess","NG Liquefaction from NG (from LFG): As a Transportation Fuel",32,"Liquefied Natural Gas",,"31000301;31000302;31000303;31000304;31000305;31000306;31000307;31000308;31000309;31000310;31000311;31000321;31000322;31000323;31000324;31000325",,,,,,,,,
"StationaryProcess","Production of Displaced Steam",34,"Steam","Steam Production from NG at DME/FTD plant","31000414;31000415",,,99930000,,,,,"No emissions in GREET",
"StationaryProcess","Sugar Cane Farming",36,"Sugar Cane Bagasse",,2801000000,,,,99942080,,,,,
"StationaryProcess","LPG Production",37,"Liquefied Petroleum Gas","Liquefied Petroleum Gas from North American Natural Gas,Liquefied Petroleum Gas from Non-North American Natural Gas",30622005,,,,,,,,"storage",
"StationaryProcess","LPG Storage from NA NG",38,"Liquefied Petroleum Gas","Liquefied Petroleum Gas from North American Natural Gas,Liquefied Petroleum Gas from Non-North American Natural Gas,Liquefied Petroleum Gas from Crude Oil",39092051,,,,,,,,"Storage for in-process fuel use",
"StationaryProcess","DME Production from NG-no co-product",39,"Dimethyl Ether","Dimethyl Ether from Non-North American Natural Gas-no co-product,Dimethyl Ether from North American Natural Gas-no co-product","40704897;40704898",,,,,,,,"DME isn't currently in widespread usage as a fuel",
"StationaryProcess","Bituminous Coal Gasification to Fischer-Tropsch Diesel (with export; Recycled Design)",40,"Fischer-Tropsch Diesel",,"10200201;10200202;10200203;10200204;10200205;10200206;10200212;10200217;10200218;10200219;10200221;10200222;10200224;10200225;10200226;10200229",99910200,,,,,,,,
"StationaryProcess","Biomass (Forest Residue IGCC)-Fired power Plant",41,"Electricity",,"10100901;10100902;10100903;10100908;10100910;10100911;10100912",,,,,,,,"I'm taking forest residue biomass to be the same as wood/bark waste. This explains IGCC: https://www.duke-energy.com/about-us/how-igcc-works.asp It is BOTH an ""internal combustion engine"" and an ""external combustion boiler"", because the syngas drives an (internal) combustion turbine, and the steam drives an (external) steam turbine generator. BUT the only codes listed for electricity generation from woody biomass seem to be external, so I'm not going to worry too much about this.",
"StationaryProcess","DME Storage",42,"Dimethyl Ether","Dimethyl Ether from Non-North American Natural Gas-no co-product,Dimethyl Ether from North American Natural Gas-no co-product,Dimethyl Ether from Flared Gas-no co-product,Dimethyl Ether from Landfill Gas,Dimethyl Ether from Non-North American Natural Gas-with steam,Dimethyl Ether (no export) from Biomass Gasification,Dimethyl Ether (with Steam/Electricity Export) from Biomass Gasification,Dimethyl Ether from Bituminous Coal,Dimethyl Ether from Forest Residue,Dimethyl Ether  from switchgrass,Dimethyl Ether  from Corn Stover,Dimethyl Ether from North American Natural Gas-with electricity,Dimethyl Ether from Landfill Gas/Renewable Gas,Dimethyl Ether from Flared Gas-with steam,Dimethyl Ether from Flared Gas-with electricity,Dimethyl Ether from North American Natural Gas-with steam,Dimethyl Ether from Non-North American Natural Gas-with electricity","40720802;40720803;40720804;40720804;40720897;40720898",,,,,,,,"DME isn't currently in widespread usage as a fuel",
"StationaryProcess","Soymeal Extracted from Soybean-Process level displace soy oil",43,"Soybean Meal","Soybean to soybean meal for other use",30200785,,,,99942070,,,,,
"StationaryProcess","Bituminous Coal Gasification to Fischer-Tropsch Diesel (with export; Once-Through Design)",44,"Fischer-Tropsch Diesel",,"10200201;10200202;10200203;10200204;10200205;10200206;10200212;10200217;10200218;10200219;10200221;10200222;10200224;10200225;10200226;10200229",99910200,,,,,,,,
"StationaryProcess","Soyoil Extracted from Soybean (unallocated)",45,"Soy Oil","Soyoil from Soybeans (unallocated)",30201906,,,,,,,,,
"StationaryProcess","Coal Gasification for Dimethyl Ether",46,"Dimethyl Ether","Dimethyl Ether from Bituminous Coal","10200201;10200202;10200203;10200204;10200205;10200206;10200212;10200217;10200218;10200219;10200221;10200222;10200224;10200225;10200226;10200229",99910400,,,,,,,"DME isn't currently in widespread usage as a fuel",
"StationaryProcess","Bituminous Coal Gasification to Methanol (with Steam/kWh Export)",47,"Methanol","Methanol from Coal",30125001,,,,,,,,,
"StationaryProcess","NG Liquefaction from LFG: As a Transportation Fuel (NG Pass Through)",48,"Liquefied Natural Gas",,"31000301;31000302;31000303;31000304;31000305;31000306;31000307;31000308;31000309;31000310;31000311;31000321;31000322;31000323;31000324;31000325",,,,,,,,,
"StationaryProcess","RNG Production from LFG",49,"Natural Gas",,"31000201;31000202;31000203;31000204;31000205;31000206;31000207;31000208;31000209;31000211;31000215;31000216;31000220;31000222;31000223;31000224;31000225;31000226;31000227;31000228;31000229;31000230;31000231;31000299",,,,,,,,,
"StationaryProcess","Biomass Gasification for to Liquid Hydrogen (no export)",50,"Gaseous Hydrogen",,"30107101;30107102",,,,,,,,,
"StationaryProcess","Biomass Gasification for to Liquid Hydrogen (with export)",52,"Gaseous Hydrogen",,"30107101;30107102",,,,,,,,,
"StationaryProcess","Conventional Jet Fuel Refining from Crude Oil for Use in US",53,"Conventional Jet Fuel","Conventional Jet Fuel from Crude Oil","40301013;40301014;40301015;40301016;40301017;40301018;40301111;40301112;40301113;40301114",,,,,,,,,
"StationaryProcess","Conventional Jet Fuel Storage",54,"Conventional Jet Fuel","Conventional Jet Fuel from Crude Oil,Pyrolysis Conventional Jet Fuel from Corn Stover Stable Bio-crude Oil,Pyrolysis Conventional Jet Fuel from Forest Residue Stable Bio-crude Oil","40301013;40301014;40301015;40301016;40301017;40301018;40301111;40301112;40301113;40301114",,,,,,,,,
"StationaryProcess","Production of Displaced Steam: Small Boiler",55,"Steam","Steam Production via Small Boiler from North American Natural Gas","31000414;31000415",,,99930000,,,,,"No emissions in GREET",
"StationaryProcess","Isobutane  production from LPG (from NG)",57,"Isobutane","Isobutene from Natural Gas LPG","30119701;30119705;30119706;30119707;30119708;30119709;30119741;30119742;30119743;30119744;30119745;30119749;30119799",,,,,,,,,
"StationaryProcess","FT Diesel Production from NG-with electricity",58,"Fischer-Tropsch Diesel","Fischer-Tropsch Diesel from North American Natural Gas-with electricity,Fischer-Tropsch Diesel from Non-North American Natural Gas-with electricity","30187017;30187018",,,,,,,,"Ammonium hydroxide and aqueous ammonia are the same. This is storage",
"StationaryProcess","MTBE: Offsite Production",59,"Methyl Tertiary Butyl Ether","Methyl tert-butyl Produced Offsite","30119701;30119705;30119706;30119707;30119708;30119709;30119741;30119742;30119743;30119744;30119745;30119749;30119799;40704801;40704802",,,,,,,,"This is butylene production. MTBE is produced from methylene and isobutylene (an isomer of butylene).",
"StationaryProcess","FT Diesel Storage",61,"Fischer-Tropsch Diesel","Fischer-Tropsch Diesel from Landfill Gas-with electricity,Fischer-Tropsch Diesel from North American Natural Gas-with electricity,Fischer-Tropsch Diesel from Non-North American Natural Gas-with electricity,Fischer-Tropsch Diesel from Non-North American Flared Gas-with electricity,Fischer-Tropsch Diesel from North American Natural Gas-no co-products,Fischer-Tropsch Diesel  from Bituminous Coal,Fischer-Tropsch Diesel from Forest Residue,Fischer-Tropsch Diesel from Farmed Trees,Fischer-Tropsch Diesel from Switchgrass,Fischer-Tropsch Diesel from Corn Stover,Fischer-Tropsch Diesel from North American Natural Gas-with steam,Fischer-Tropsch Diesel from Non-North American Natural Gas-with steam,Fischer-Tropsch Diesel from Non-North American Natural Gas-no co-products,Fischer-Tropsch Diesel from Non-North American Flared Gas-no co-product,Fischer-Tropsch Diesel from Landfill Gas-no co-product,Fischer-Tropsch Diesel from Non-North American Flared Gas-with steam,Fischer-Tropsch Diesel from Landfill Gas-with steam","10100101;10100102;10100201;10100202;10100203;10100204;10100205;10100212;10100215;10100217;10100218;10100221;10100222;10100223;10100224;10100225;10100226;10100237;10100238;10100301;10100302;10100303;10100306;10100317;10100318;10100401;10100404;10100405;10100406;10100501;10100504;10100505;10100601;10100602;10100604;10100701;10100702;10100703;10100712;10100801;10100901;10100902;10100903;10100908;10100910;10100911;10100912;10101001;10101002;10101101;10101201;10101202;10101204;10101206;10101207;10101208;10101301;10101302;10101501;10101502;10101601;10102101",99910200,,,,,,,,
"StationaryProcess","FT Diesel Production (From NNA NG)",62,"Fischer-Tropsch Diesel",,"10100601;10100602;10100604",99910200,,,,99951300,,,,
"StationaryProcess","Production of Displaced Steam from LPG (from Crude Oil Mix)",63,"Steam","Steam Production from Liquefied Petroleum Gas","31000414;31000415",,,99930000,,,,,"No emissions in GREET",
"StationaryProcess","Forming (float glass process for flat glass)",64,"Glass","Flat glass production",30501407,,,,,,,,,
"StationaryProcess","MTBE: Onsite Production",65,"Methyl Tertiary Butyl Ether","Methyl tert-butyl Produced Onsite","30119701;30119705;30119706;30119707;30119708;30119709;30119741;30119742;30119743;30119744;30119745;30119749;30119799",,,,,,,,"This is butylene production. MTBE is produced from methylene and isobutylene (an isomer of butylene). The default GREET mix is 0% onsite production. I'm not sure which site 'onsite' refers to.",
"StationaryProcess","Isobutene  production from LPG (from Crude Oil Mix)",66,"Isobutane","Isobutene from Crude Oil LPG","30119701;30119705;30119706;30119707;30119708;30119709;30119741;30119742;30119743;30119744;30119745;30119749;30119799",,,,,,,,,
"StationaryProcess","TAME: Offsite Production",67,"Tertiary Amyl Methyl Ether","Tert-Amyl Methyl Ether Produced Offsite","30119701;30119705",,,,,,,,"TAME is produced by reacting methanol and 2-methyl-1-butene and 2-methyl-2-butene over a catalyst. The latter are produced during ethylene or propylene production",
"StationaryProcess","NG Production from LFG (for CNG)",68,"Natural Gas",,"31000201;31000202;31000203;31000204;31000205;31000206;31000207;31000208;31000209;31000211;31000215;31000216;31000220;31000222;31000223;31000224;31000225;31000226;31000227;31000228;31000229;31000230;31000231;31000299",,,,,,,,,
"StationaryProcess","TAME: Onsite Production",69,"Tertiary Amyl Methyl Ether","Tert-Amyl Methyl Ether Produced Onsite","30119701;30119705",,,,,,,,"TAME is produced by reacting methanol and 2-methyl-1-butene and 2-methyl-2-butene over a catalyst. The latter are produced during ethylene or propylene production",
"StationaryProcess","Gas Compression with Credit (RNG)",70,"Compressed Natural Gas",,"31000301;31000302;31000303;31000304;31000305;31000306;31000307;31000308;31000309;31000310;31000311;31000321;31000322;31000323;31000324;31000325",,,,,,,,,
"StationaryProcess","ETBE: Offsite Production",71,"Ethyl Tertiary Butyl Ether","Ethyl Tert-Butyl Produced Offsite","30119701;30119705;30119706;30119707;30119708;30119709;30119741;30119742;30119743;30119744;30119745;30119749;30119799",,,,,,,,"This is butylene production. ETBE is produced from ethylene and isobutylene (an isomer of butylene). The default GREET mix is 0% onsite production. I'm not sure which site 'onsite' refers to.",
"StationaryProcess","Bituminous Coal Gasification to Fischer-Tropsch Diesel (no export)",72,"Fischer-Tropsch Diesel","Fischer-Tropsch Diesel  from Bituminous Coal","10200201;10200202;10200203;10200204;10200205;10200206;10200212;10200217;10200218;10200219;10200221;10200222;10200224;10200225;10200226;10200229",99910200,,,,,,,,
"StationaryProcess","ETBE: Onsite Production",74,"Ethyl Tertiary Butyl Ether","Ethyl Tert-Butyl Produced Onsite","30119701;30119705",,,,,,,,"Onsite, as in, where gasoline is produced from crude oil",
"StationaryProcess","Conversion from U308 to natural UF6",76,"Uranium Hexafluoride","LWR Fuel from Uranium Ore,HTGR Fuel from Uranium Ore","65145001;65145020",,,,,,,,"N.B. in the US, this conversion process in happens via 'dry flouride volatility'",
"StationaryProcess","Biomass Gasification to Methanol (no export)",77,"Methanol","Methanol (no export) from Biomass",30125001,,,,,,,,,
"StationaryProcess","G.H2 Liquefaction for Hydrogen from NG",81,"Liquid Hydrogen","Liquid Hydrogen from Natural Gas","30107101;30107102;30107103",,99920800,,,,,,,
"StationaryProcess","FT Naphtha Production from NG-no co-product",82,"NG-Based FT Naphtha","Naphtha from Non-North American Natural Gas-no co-product,Naphtha from North American Natural Gas-no co-product","30206013;30206015;30206021;30206025",,,,,,,,,
"StationaryProcess","Nuclear-HTGR Power Plant (UO2)",83,"Electricity",,,,,,,,99960200,,,
"StationaryProcess","FT Naphtha Storage",85,"NG-Based FT Naphtha","Naphtha from Non-North American Natural Gas-no co-product,Naphtha from North American Natural Gas-no co-product,Naphtha from Landfill Gas,Naphtha from Non-North American Flared Gas-no co-product,Naphtha from Non-North American Natural Gas-with electricity,Naphtha from Non-North American Flared Gas-with electricity,Naphtha from Non-North American Natural Gas-with stream,Naphtha from Non-North American Flared Gas-with stream,Naphtha from North American Natural Gas-with steam,Naphtha from North American Natural Gas-with electricity","10100101;10100102;10100201;10100202;10100203;10100204;10100205;10100212;10100215;10100217;10100218;10100221;10100222;10100223;10100224;10100225;10100226;10100237;10100238;10100301;10100302;10100303;10100306;10100317;10100318;10100401;10100404;10100405;10100406;10100501;10100504;10100505;10100601;10100602;10100604;10100701;10100702;10100703;10100712;10100801;10100901;10100902;10100903;10100908;10100910;10100911;10100912;10101001;10101002;10101101;10101201;10101202;10101204;10101206;10101207;10101208;10101301;10101302;10101501;10101502;10101601;10102101",99910200,,,,,,,,
"StationaryProcess","FT Naphtha Production from NNA FG-no co-product",86,"NG-Based FT Naphtha","Naphtha from Non-North American Flared Gas-no co-product","10100101;10100102;10100201;10100202;10100203;10100204;10100205;10100212;10100215;10100217;10100218;10100221;10100222;10100223;10100224;10100225;10100226;10100237;10100238;10100301;10100302;10100303;10100306;10100317;10100318;10100401;10100404;10100405;10100406;10100501;10100504;10100505;10100601;10100602;10100604;10100701;10100702;10100703;10100712;10100801;10100901;10100902;10100903;10100908;10100910;10100911;10100912;10101001;10101002;10101101;10101201;10101202;10101204;10101206;10101207;10101208;10101301;10101302;10101501;10101502;10101601;10102101",99910200,,,,99951300,,,,
"StationaryProcess","Uranium Enrichment from HTGR Fuel",87,"Enriched Uranium Hexafluoride","HTGR Fuel from Uranium Ore","65145001;65145020",,,,,,,,,
"StationaryProcess","Uranium Conversion, Fabrication and Waste Storage (10% Enriched)",89,"Uranium Fuel (10% Enriched)","HTGR Fuel from Uranium Ore","65145001;65145020",,99920700,,,,,,,
"StationaryProcess","Switchgrass IGCC Power Plant",91,"Electricity","Other Purpose - Switchgrass (IGCC) Power Production with distribution,Non Distributed - Biomass Power Generation",10101207,,,,,,,,"This explains IGCC: https://www.duke-energy.com/about-us/how-igcc-works.asp It is BOTH an ""internal combustion engine"" and an ""external combustion boiler"", because the syngas drives an (internal) combustion turbine, and the steam drives an (external) steam turbine generator. BUT the only codes listed for electricity generation from woody biomass seem to be external, so I'm not going to worry too much about this. 10101210 stoker",
"StationaryProcess","Coal Mining and Cleaning",93,"Coal Average","Coal Mining and Cleaning","30501001;30501002;30501003;30501004;30501005;30501006;30501008;30501009;30501010;30501011;30501012;30501013;30501014;30501015;30501016;30501017;30501022;30501024;30501030;30501031;30501032;30501033;30501034;30501035;30501036;30501037;30501038;30501039;30501040;30501041;30501043;30501044;30501045;30501046;30501047;30501048;30501049;30501050;30501051;30501060;30501061;30501062;30501090;30501099",,,,,,,,,
"StationaryProcess","RFG Gasoline Blendstock Refining",94,"E10",,30602201,,,,,,,,"Not really sure what a gasoline blending unit is. Is it somewhere where EX blends are made? At any rate, this process has no emissions.",
"StationaryProcess","CARFG Gasoline Blendstock Refining",95,"Gasoline Blendstock","Gasoline Blendstock from Crude Oil for Use in CA Refineries",30602201,,,,,,,,"California Reformulated Gasoline -- just take this to be normal gasoline",
"StationaryProcess","LPG Refining-with pre-defined Crude oil mixes",96,"Liquefied Petroleum Gas","Liquefied Petroleum Gas from Crude Oil",30622005,,,,,,,,"storage",
"StationaryProcess","Residual Oil Refining-with pre-defined Crude oil mixes",97,"Residual Oil","Unfinished Oil from Crude Oil for CA CG refineries,Unfinished Oil from Crude Oil for US CG refineries,Residual Oil (Petroleum) from Crude Oil,Residual Oil (Petroleum) from Crude Oil in Chile,Residual Oil (Petroleum) from Crude Oil for Use as a Marine Fuel",30600902,,,,,,,,"This is for residual oil flares. I'm guessing in the place where it's refined?",
"StationaryProcess","Crude Naphtha Refining-with pre-defined Crude Oil mixes",99,"Crude Naphtha","Crude Naphtha from Crude Oil,Crude Naphtha to Oil Sands",40301015,,,,,,,,"Storage at the refinery (presumably close to where it is refined)",
"StationaryProcess","Ammonia (per ton of product) Production",100,"Ammonia","Ammonia Production,Ammonia Production as Intermediate Fertilizer","30100305;30100306;30100307;30100308;30100309;30100310;30100399",,,,,,,,,
"StationaryProcess","Urea Production",101,"Urea","Urea Production","30104001;30104002;30104003;30104004;30104005;30104006;30104007;30104010;30104012;30104013;30104020",,,,,,,,,
"StationaryProcess","Nitric Acid (per ton of product) Production",102,"Nitric Acid","Nitric Acid Production","30101301;30101302;30101303;30101304;30101399",,,,,,,,,
"StationaryProcess","Ammonium Nitrate (per ton of product) Production",103,"Ammonium Nitrate","Ammonium Nitrate Production","30102701;30102704;30102705;30102706;30102707;30102708;30102709;30102710;30102711;30102712;30102713;30102714;30102717;30102720;30102722;30102723;30102724;30102725;30102727;30102728",,,,,,,,"CF Industries has a map of their facilities, with capacity, at http://www.cfindustries.com/plants_overview.html",
"StationaryProcess","Sulfuric Acid (per ton of product) Production",104,"Sulfuric Acid","Sulfuric Acid Production","30102201;30102301;30102304;30102306;30102308;30102310;30102314;30102318;30102319;30102320;30102321;30102322;30102323;30102325;30102330;30102331;30102399",,,,,,,,,
"StationaryProcess","Phosphoric rock (per ton of product) Production",105,"Phosphoric rock","Phosphoric rock Production","30501901;30501902;30501903;30501999",,,,,,,,,
"StationaryProcess","Phosphoric Acid (per ton of P2O5 product) Production",106,"Phosphoric acid P205","Phosphoric acid (per ton of P2O5 product) Production,Phosphoric acid Production (as intermediate fertilizer inputs),Production of lithium iron phosphate (hydrothermal)","30101601;30101602;30101603;30101699;30101704;30101705;30101706;30101707;30101799",,,,,,,,"Wet and dry process -- haven't checked which GREET uses yet",
"StationaryProcess","K2O (per ton of product) Production",107,"Potassium Oxide","Potassium Oxide Production",30502299,,,,,,,,"These are all under ""potash"" production.",
"StationaryProcess","Limestone Mining (per ton of product)",108,"Calcium Carbonate","Calcium Carbonate Production,Limestone as fertilizer products or intermediate fertilizer inputs,Limestone Mining",30501650,,,,,,,,,
"StationaryProcess","Atrazine (per ton of product) Production",109,"Atrazine","Atrazine Production",63111001,,,,,,,,"Only pesticides are listed as a category (30103300). However, there are herbicides listed (chlorothalonil, and dacthal, for example) under 631.",
"StationaryProcess","Metolachlor (per ton of product) Production",110,"Metolachlor","Matolachlor Production",63111001,,,,,,,,"Only pesticides are listed as a category (30103300). However, there are herbicides listed (chlorothalonil, and dacthal, for example) under 631. Captan is close enough",
"StationaryProcess","Acetochlor (per ton of product) Production",112,"Acetochlor","Acetochlor Production",63111001,,,,,,,,"Only pesticides are listed as a category (30103300). However, there are herbicides listed (chlorothalonil, and dacthal, for example) under 631. Captan is close enough",
"StationaryProcess","Cyanazine (per ton of product) Production",113,"Cyanazine","Cyanazine Production",63111001,,,,,,,,"Only pesticides are listed as a category (30103300). However, there are herbicides listed (chlorothalonil, and dacthal, for example) under 631. Captan is close enough",
"StationaryProcess","Insecticides (per ton of product) Production",114,"Insecticides","Insecticides Production",30103311,,,,,,,,"Only pesticides are listed as a category (30103300). However, there are herbicides listed (chlorothalonil, and dacthal, for example) under 631.",
"StationaryProcess","Switchgrass (Steam Turbine) Power Plant",115,"Electricity","Non Distributed - Biomass Power Generation",10101207,,,,,,,,"10101210 stoker",
"StationaryProcess","Corn Farming",116,"Corn","Corn Production for Biofuel Refinery","2801000000;30200751;30200741",,,,99942030,,,,,
"StationaryProcess","`",118,"Electricity","Non Distributed - Biomass Power Generation","10100901;10100902;10100903;10100908;10100910;10100911;10100912",,,,,,,,"This explains IGCC: https://www.duke-energy.com/about-us/how-igcc-works.asp It is BOTH an ""internal combustion engine"" and an ""external combustion boiler"", because the syngas drives an (internal) combustion turbine, and the steam drives an (external) steam turbine generator. BUT the only codes listed for electricity generation from woody biomass seem to be external, so I'm not going to worry too much about this. I'm taking forest residue biomass to be the same as wood/bark waste.",
"StationaryProcess","FT Diesel Production with co-products (From NG)",122,"Fischer-Tropsch Diesel",,"10100601;10100602;10100604",99910200,,,,,,,,
"StationaryProcess","Soybean Farming",131,"Soybeans","Soybean Production","30200781;2801000000",,,,99942070,,,,"soybean grain receiving, as well as the usual farming",
"StationaryProcess","Soy Oil Extracted from Soybeans",132,"Soy Oil","Soyoil from Soybeans (for BD and BG)",30201906,,,,,,,,,
"StationaryProcess","Vegetable Oil Transesterification (Biodiesel)",133,"Biodiesel ","Biodiesel Production from Soybeans",30206021,,,,,,,,,
"StationaryProcess","Vegetable Oil to Renewable Diesel I",135,"Renewable Diesel I","Renewable Diesel I from Soybeans","30206013;30206015;30206021;30206025",,,,,,,,,
"StationaryProcess","Vegetable Oil to Renewable Diesel II",136,"Renewable Diesel II","Renewable Diesel II from Soybeans","30206013;30206015;30206021;30206025",,,,,,,,,
