ID,Name,SCC,Notes
Technology21827742,Non-Combustion  Emissions for Conv. Jet Fuel Refining of Hydrotreated Pyrolysis Oil from Forest Residue,40600244,
Technology24248335,"Small Industrial Boiler,10 to 100 mmBtu/hr - Poplar",10301101,
Technology25805499,AD gas turbine,20300701,
Technology25805371,AD gas Stationary Reciprocating Engine,20300702,
Technology25977305,Lipid-extracted algae combustion with boiler,10300501,
Technology28830739,Blast Furnace Gas Combustion,30300318,
Technology28830815,Blast Furnace Gas Flaring,30300318,
Technology28831071,Coke Oven Gas Combustion,39000701,
Technology28831141,Coke Oven Gas Flaring,39000701,
Technology29600954,Oil Steam Turbine (EIA/EPA),10100401,
Technology29602730,Oil Internal Combustion Engine (EIA/EPA),20100102,
Technology29604043,Oil Gas Turbine (EIA/EPA),10100401,
Technology29606921,NG SC Turbine (EIA/EPA),10100601,
Technology29607650,NG CC Turbine (EIA/EPA),10100601,
Technology29670039,Coal Steam Turbine (EIA/EPA),10100202,
Technology29670971,Coal IGCC Turbine (EIA/EPA),10100202,
Technology29672644,"Steam Turbine, switchgrass",10201101,
Technology29672645,"IGCC Turbine, switchgrass",10201101,
Technology29672646,Utility boiler,10200602,
Technology29672647,"IGCC Turbine, Forest Residue ",10300902,
Technology29672648,"Utility boiler, miscanthus",10201101,
Technology29672649,"IGCC Turbine, miscanthus",10201101,
Technology29672650,"Steam Turbine, poplar",10300902,
Technology29672651,"IGCC Turbine, poplar",10300902,
Technology29672652,"Steam Turbine, willow",10300902,
Technology29672653,"IGCC Turbine, willow",10300902,
Technology30640252,Kiln,10200603,
Technology30642059,NG Kiln,10200603,
Technology31505417,Non-Combustion Emissions - Crude Oil,2310011020,
Technology31932132,Willow small industrial boiler,10300902,
Technology34428834,Non-Combustion Emissions - Crude Oil for Residue Oil,2310011020,
Technology34429793,Non-Combustion Emissions - Crude Oil for CA gasoline and Conventional Diesel,2310011020,
Technology50594738,Sugarcane Straw Field Burning,2310011020,
Technology50671902,Small Industrial Boiler,10200602,
Technology56561019,Stationary Reciprocating Engine,20300101,
Technology56903236,Natural Gas Flaring in Oil Field ,30600903,
Technology57502784,Non-Combustion Emissions - for Diesel Refining,2306000000,
Technology57776529,Barge To - Bunker Fuel,2280003200,
Technology57776555,Barge From - Bunker Fuel,2280003200,
Technology660109,Commercial Boiler - Diesel,10300501,
Technology113,Diluent Flaring in Oil Field ,2310002305,
Technology116,Non-Combustion Emissions - for Conv. Jet Fuel Refining,2306000000,
Technology117,Small Gas Turbine - Natural Gas,20200201,
Technology2000,Non-Combustion Emissions for Conv. Jet Fuel Refining of Hydrotreated Pyrolysis Oil from Corn Stover,2306000000,
Technology118,G.H2 Production: Non-Combustion Emissions (g/mmBtu of H2),2306000000,
Technology330005,FT Jet Fuel Biomass Gasification: Non-Combustion Emissions (no co-product),2306000000,
Technology125,FT Jet Fuel Biomass Gasification: Non-Combustion Emissions (with steam or electricity co-product),2306000000,
Technology76606009,NG Steam Turbine (EIA/EPA),20100201,
Technology76607625,NG Internal Combustion Engine (EIA/EPA),20100202,
Technology76850794,FT Naphtha Production from Landfill Gas: Non-Combustion Emissions,2306000000,
Technology77983567,Large Industrial Boiler - Renewable Natural Gas,10300601,
Technology5,Central Plants G.H2 Production from NG: Non-Combustion Emissions,30107101,
Technology78933775,Coal Gasification Non-Combustion Emissions,2306000000,
Technology108,Central Plants G.H2 Production from Coal: Non-Combustion Emissions,30107101,
Technology79018059,Pet Coke Gasification for H2 production:Non-Combustion Emissions,30107101,
Technology79019387,Pet Coke Production: Non-combustion emissions,2306000000,
Technology79118261,CG Refining Non-Combustion Emissions - Crude Oil,2306000000,
Technology80836079,Crude Naphtha Production: Non-combustion emissions,2306000000,
Technology73666720,Emissions from Disposal of Petroleum Naphtha as Vehicle Waste,40200921,
Technology28809306,LSD-Heavy Heavy-Duty Truck,2202620372,
Technology81618887,Diesel Turbine,20300102,
Technology83420137,Industrial Boiler,10200602,
Technology360010,Central Plants G.H2 Production from EtOH: Non-Combustion Emissions,30107101,
Technology350009,Central Plants G.H2 Production from MeOH: Non-Combustion Emissions,30107101,
Technology83863440,Industrial Boiler - Refinery Still Gas,10300799,
Technology290001,Ocean Tanker To - Diesel,2280002200,
Technology290002,Ocean Tanker From - Diesel,2280002200,
Technology340002,Ocean Tanker From - Bunker Fuel,2280003200,
Technology14,Non-Combustion Emissions - for ULS Jet Fuel Refining,2306000000,
Technology57776368,Barge To - Liquefied Natural Gas,2268003020,
Technology57776375,Barge From - Liquefied Natural Gas,2268003020,
Technology85147009,Locomotive To - LNG,2268003020,
Technology85147633,Locomotive From - LNG,2268003020,
Technology6,Non-Combustion Emissions for DME/MeOH/FTD/FTJ/SCO Production from NG,2306000000,
Technology85938347,FT Naphtha CO2,40200921,
Technology86450418,Bio-char boilers,10200902,
Technology86451450,Biogenic syngas boilers,10200902,
Technology86451514,Biogenic fuel gas boilers,10200902,
Technology86967555,Non-Combustion  Emissions for ULS Jet Fuel Refining of Hydrotreated Pyrolysis Oil from Forest Residue,2306000000,
Technology86968968,Non-Combustion  Emissions for ULS Jet Fuel Refining of Hydrotreated Pyrolysis Oil from Corn Stover,2306000000,
Technology19928283,Non-Combustion Emissions for DME/MeOH/FTD/FTJ Production from FG,2306000000,
Technology87400273,Non-Combustion Emissions - for Pyrolysis Renewable Diesel/Gasoline,2306000000,
Technology87489453,Gasoline Blendstock Refining Non-Combustion Emissions - Liquid Fuel from Forest Residue,2306000000,
Technology88168586,Non-Combustion Emissions - Crude Oil for CG/Diesel/Residual Oil Refining,2306000000,
Technology88191017,Diluent Flared in Canadian Oil Field ,2310002305,
Technology88620547,Willow Large Industrial Boiler,10200902,
Technology88859825,Small Gas Turbine - Renewable Natural Gas,20300202,
Technology57773890,Ocean Tanker From - LNG,20200202,
Technology57773606,Ocean Tanker To - LNG,20200202,
